name,house,is_male,culture,is_noble,is_married,is_popular,popularity,dead_relations,is_alive,actually_died,age
Viserys II Targaryen,Unknown,1,,0,0,1,0.605351170568561,11,0,0,-1.0
Walder Frey,House Frey,1,Rivermen,1,1,1,0.896321070234113,1,1,1,97.0
Addison Hill,House Swyft,1,,1,0,0,0.267558528428093,0,1,1,-1.0
Aemma Arryn,House Arryn,0,,1,1,0,0.183946488294314,0,0,0,23.0
Sylva Santagar,House Santagar,0,Dornish,1,1,0,0.0434782608695652,0,1,1,29.0
Tommen Baratheon,Unknown,1,,0,0,1,1.0,5,1,1,-1.0
Valarr Targaryen,House Targaryen,1,Valyrian,1,1,1,0.431438127090301,0,0,0,26.0
Viserys I Targaryen,Unknown,1,,0,0,1,0.678929765886287,5,0,0,-1.0
Wilbert,Unknown,1,,1,0,0,0.0066889632107023,0,0,0,-1.0
Wilbert Osgrey,House Osgrey,1,,1,0,0,0.020066889632107,0,1,1,-1.0
Will,Night's Watch,1,,0,0,0,0.163879598662207,0,0,0,-1.0
Will (orphan),Unknown,0,,0,0,0,0.0033444816053511,0,1,1,-1.0
Will (squire),Unknown,1,,0,0,0,0.0033444816053511,0,1,1,-1.0
Will (Standfast),House Osgrey,0,,0,0,0,0.0033444816053511,0,1,1,-1.0
Will (Treb),House Osgrey,1,,0,0,0,0.0033444816053511,0,1,1,-1.0
Will Humble,House Humble,1,Ironborn,0,0,0,0.0133779264214046,0,1,1,-1.0
Willam,Unknown,1,,0,0,0,0.0133779264214046,0,1,1,-1.0
Willem Wylde,House Wylde,1,,1,0,0,0.020066889632107,0,1,1,-1.0
Willifer,Unknown,0,,1,0,0,0.0066889632107023,0,1,1,-1.0
Willit,House Swyft,1,,0,0,0,0.0100334448160535,0,1,1,-1.0
Willis Wode,House Wode,1,,1,0,0,0.020066889632107,0,1,1,-1.0
Willis Fell,House Fell,0,,1,0,0,0.0234113712374581,0,1,1,-1.0
Willow Heddle,Brotherhood Without Banners,0,,0,0,0,0.0334448160535117,0,1,1,16.0
Willum,Unknown,1,,1,0,0,0.0,0,1,1,-1.0
Wolmer,House Webber,1,,0,0,0,0.0033444816053511,0,1,1,-1.0
Willow Witch-eye,Unknown,0,Free Folk,0,0,0,0.0501672240802675,0,0,0,-1.0
Woth,Unknown,1,,0,0,0,0.0301003344481605,0,0,0,-1.0
Wulfe,House Greyjoy,1,Ironborn,0,0,0,0.0234113712374581,0,1,1,-1.0
Wyl the Whittler,Unknown,0,,0,0,0,0.0066889632107023,0,1,1,-1.0
Wyl (guard),House Stark,0,Northmen,0,0,0,0.0267558528428093,0,0,0,-1.0
Wyl Waynwood,House Waynwood,0,,0,0,0,0.0133779264214046,0,0,0,-1.0
Wun Weg Wun Dar Wun,Unknown,1,,0,0,0,0.0501672240802675,0,1,1,-1.0
Wylla,House Dayne,1,,0,0,0,0.0267558528428093,0,1,1,-1.0
Wynafryd Manderly,House Manderly,0,,0,0,0,0.0568561872909698,0,1,1,25.0
Xhondo,Unknown,1,Summer Isles,0,0,0,0.020066889632107,0,1,1,-1.0
Ygon Farwynd,House Farwynd of the Lonely Light,1,,0,0,0,0.0100334448160535,0,1,1,-1.0
Yna,Happy Port,1,,0,0,0,0.020066889632107,0,1,1,-1.0
Yohn Farwynd,House Farwynd of the Lonely Light,1,Ironborn,0,0,0,0.0100334448160535,0,1,1,-1.0
Yorkel,House Targaryen,0,,0,0,0,0.0,0,1,1,-1.0
Yorko Terys,Unknown,1,Braavosi,0,0,0,0.0234113712374581,0,1,1,-1.0
Yormwell,Unknown,0,,1,0,0,0.0033444816053511,0,1,1,-1.0
Young Henly,Night's Watch,1,,0,0,0,0.0133779264214046,0,0,0,59.0
Ysilla,Unknown,0,,0,1,0,0.040133779264214,0,1,1,-1.0
Zarabelo,Unknown,0,,1,0,0,0.0066889632107023,0,1,1,-1.0
Zei,Unknown,0,,0,0,0,0.0133779264214046,0,1,1,-1.0
Zekko,Unknown,1,Dothraki,0,0,0,0.0133779264214046,0,1,1,-1.0
Zharaq zo Loraq,House of Loraq,1,Ghiscari,0,0,0,0.0100334448160535,0,1,1,-1.0
Wenda,Kingswood Brotherhood,0,,0,0,0,0.0167224080267558,0,1,1,-1.0
Wex Pyke,House Botley,1,Ironborn,0,0,0,0.113712374581939,0,1,1,19.0
Timett,Burned Men,1,Vale mountain clans,1,0,0,0.0735785953177257,0,1,1,27.0
Joffrey Baratheon,Unknown,1,,0,0,1,1.0,5,0,0,-1.0
Laenor Velaryon,House Velaryon,1,Valyrian,1,1,0,0.193979933110367,0,0,0,26.0
Leobald Tallhart,House Tallhart,1,Northmen,1,1,0,0.110367892976588,0,0,0,-1.0
Maegor I Targaryen,Unknown,1,,0,0,1,0.705685618729097,0,0,0,-1.0
Margaery Tyrell,House Tyrell,0,Reach,1,1,1,1.0,3,1,1,22.0
Naerys Targaryen,House Targaryen,0,Valyrian,1,1,0,0.220735785953177,12,0,0,100.0
Quence,Unknown,0,Braavosi,0,0,0,0.020066889632107,0,1,1,-1.0
Quellon Botley,House Botley,1,Ironborn,0,0,0,0.0468227424749163,0,1,1,-1.0
Quellon Greyjoy,House Greyjoy,1,Ironborn,1,1,0,0.0903010033444816,0,0,0,-1.0
Quentyn Blackwood,House Blackwood,0,,1,0,0,0.020066889632107,0,0,0,-1.0
Quenton Greyjoy,House Greyjoy,1,Ironborn,0,0,0,0.060200668896321,0,1,1,-1.0
Quhuru Mo,Unknown,1,Summer Isles,0,0,0,0.040133779264214,0,1,1,-1.0
Quickfinger,House Blackfyre,1,,0,0,0,0.0100334448160535,0,1,1,-1.0
Quill,Unknown,1,Braavosi,0,0,0,0.0167224080267558,0,1,1,-1.0
Quentin Tyrell,House Tyrell,0,,1,0,0,0.127090301003344,0,1,1,-1.0
Quort,wildling,1,,0,0,0,0.0100334448160535,0,0,0,14.0
Qyle,Unknown,1,,0,0,0,0.0133779264214046,0,0,0,-1.0
Rafe,Unknown,0,,0,0,0,0.0066889632107023,0,1,1,-1.0
Racallio Ryndoon,Kingdom of the Three Daughters,1,Tyroshi,0,0,0,0.0100334448160535,0,1,1,-1.0
Ragnor Pyke,House Greyjoy,0,Ironborn,0,0,0,0.0100334448160535,0,1,1,-1.0
Rainbow Knight,Unknown,0,,0,0,0,0.0033444816053511,0,1,1,-1.0
Randa,Unknown,0,,0,0,0,0.0033444816053511,0,1,1,-1.0
Rast,Night's Watch,1,,0,0,0,0.0668896321070234,0,0,0,-1.0
Rawney,Unknown,1,,1,0,0,0.0100334448160535,0,1,1,-1.0
Raymar Royce,House Royce of the Gates of the Moon,1,,1,0,0,0.0133779264214046,0,1,1,-1.0
Raymond Nayland,House Nayland,0,,1,0,0,0.0167224080267558,0,1,1,-1.0
Raymund Tyrell,House Tyrell,0,,0,0,0,0.127090301003344,0,1,1,-1.0
Red Oarsman,Unknown,0,Ironborn,0,0,0,0.0167224080267558,0,1,1,-1.0
Red Lamb,House Targaryen,1,Lhazarene,1,0,0,0.0,0,1,1,-1.0
Redtusk,Unknown,1,,1,0,0,0.0167224080267558,0,1,1,-1.0
Red Rolfe,House Greyjoy,1,,0,0,0,0.0133779264214046,0,0,0,-1.0
Redwyn,Night's Watch,0,,0,0,0,0.0066889632107023,0,1,1,-1.0
Reynard Webber,House Webber,0,,1,0,0,0.0066889632107023,0,1,1,-1.0
Reysen,Unknown,1,,0,0,0,0.0234113712374581,0,1,1,-1.0
Rhaegel Targaryen,House Targaryen,1,Valyrian,1,1,0,0.0969899665551839,3,0,0,42.0
Rhaena Targaryen (daughter of Daemon),House Targaryen,0,,1,1,0,0.1438127090301,0,0,0,100.0
Rhaena Targaryen (daughter of Aegon III),House Targaryen,0,Valyrian,1,0,0,0.0735785953177257,0,0,0,100.0
Rhaenys Targaryen,House Targaryen,0,Valyrian,1,1,0,0.277591973244147,1,0,0,35.0
Rhaenys Targaryen (daughter of Rhaegar),House Targaryen,0,,1,0,0,0.244147157190635,10,0,0,3.0
Rhialta Vance,House Vance of Wayfarer's Rest,0,,0,0,0,0.0167224080267558,0,1,1,-1.0
Rhaenys Targaryen (daughter of Aemon),House Targaryen,0,Valyrian,1,1,0,0.1438127090301,0,0,0,55.0
Rhonda Rowan,House Rowan,0,,0,1,0,0.0501672240802675,0,1,1,-1.0
Richard Farrow,House Farrow,0,,1,0,0,0.0167224080267558,0,0,0,-1.0
Richard Lonmouth,House Lonmouth,1,,1,0,0,0.0234113712374581,0,1,1,-1.0
Rigney,Unknown,1,,1,0,0,0.0033444816053511,0,1,1,-1.0
Rob,House Osgrey,1,,0,0,0,0.0033444816053511,0,1,1,-1.0
Rickard Tyrell,House Tyrell,1,,0,0,0,0.123745819397993,0,1,1,-1.0
Robb Reyne,House Reyne,1,,1,0,0,0.0066889632107023,0,1,1,-1.0
Robert Ashford,House Ashford,1,Reach,1,0,0,0.0234113712374581,0,1,1,-1.0
Robert Brax (son of Flement),House Brax,1,,0,0,0,0.120401337792642,0,1,1,15.0
Robert Paege,House Paege,0,,1,0,0,0.0100334448160535,0,1,1,-1.0
Robb Stark,Unknown,1,,0,0,1,1.0,7,0,0,-1.0
Robin,Unknown,1,,0,0,0,0.0167224080267558,0,1,1,-1.0
Robert Frey (son of Raymund),House Frey,1,,0,0,0,0.147157190635451,0,1,1,22.0
Robin Greyjoy,House Greyjoy,1,Ironborn,0,0,0,0.0635451505016722,0,1,1,-1.0
Robin Hollard,House Hollard,1,,0,0,0,0.0267558528428093,0,1,1,-1.0
Rodrik Freeborn,Unknown,1,Ironborn,0,0,0,0.0133779264214046,0,1,1,-1.0
Roelle,House Tarth,0,,0,0,0,0.0,0,1,1,-1.0
Rodrik Stark (son of Beron),House Stark,1,Northmen,0,1,0,0.100334448160535,0,1,1,-1.0
Roger of Pennytree,Unknown,1,,0,0,0,0.0301003344481605,0,0,0,-1.0
Roggo,Unknown,0,Braavosi,0,0,0,0.0133779264214046,0,1,1,-1.0
Roger Ryswell,House Ryswell,1,Northmen,0,0,0,0.0468227424749163,0,1,1,-1.0
Rolder,House Lannister,1,,0,0,0,0.0,0,1,1,-1.0
Roland Crakehall (Kingsguard),House Crakehall,1,,1,0,0,0.020066889632107,0,1,1,-1.0
Rolfe,Unknown,1,,0,0,0,0.0033444816053511,0,1,1,-1.0
Rolland Darklyn,House Darklyn,1,,1,0,0,0.0100334448160535,0,1,1,-1.0
Rollam Westerling,House Westerling,1,,0,0,0,0.0434782608695652,0,1,1,15.0
Romny Weaver,House Weaver,1,Ironborn,0,0,0,0.020066889632107,0,1,1,-1.0
Ronald Storm,House Connington,1,,0,0,0,0.040133779264214,0,1,1,-1.0
Ronnel Stout,House Stout,0,Northmen,0,0,0,0.0334448160535117,0,1,1,-1.0
Ronnel Harclay,House Harclay,0,,0,0,0,0.0133779264214046,0,1,1,-1.0
